Date,Two-Week Hash Growth
2012-11-28,5.51284
2012-11-29,9.02936
2012-11-30,13.278
2012-12-01,10.1438
2012-12-02,12.2709
2012-12-03,12.0616
2012-12-04,9.46156
2012-12-05,5.03365
2012-12-06,-0.944023
2012-12-07,-4.62327
2012-12-08,-5.88382
2012-12-09,-9.69284
2012-12-10,-11.3472
2012-12-11,-13.1953
2012-12-12,-10.742
2012-12-13,-12.1659
2012-12-14,-14.9567
2012-12-15,-14.544
2012-12-16,-18.3123
2012-12-17,-19.9079
2012-12-18,-19.9838
2012-12-19,-18.9968
2012-12-20,-13.6749
2012-12-21,-13.6188
2012-12-22,-11.9318
2012-12-23,-5.27227
2012-12-24,-2.32124
2012-12-25,-1.79713
2012-12-26,-4.96653
2012-12-27,-6.12378
2012-12-28,-1.89016
2012-12-29,3.36898
2012-12-30,3.36488
2012-12-31,8.23709
2013-01-01,10.2362
2013-01-02,14.9456
2013-01-03,13.2488
2013-01-04,17.2508
2013-01-05,12.8792
2013-01-06,7.92739
2013-01-07,4.57514
2013-01-08,5.78183
2013-01-09,4.24263
2013-01-10,3.81675
2013-01-11,0.0974575
2013-01-12,-4.71102
2013-01-13,-2.83231
2013-01-14,-5.35125
2013-01-15,-5.81215
2013-01-16,-8.83922
2013-01-17,-8.65851
2013-01-18,-12.6748
2013-01-19,-11.005
2013-01-20,-7.57409
2013-01-21,-6.07152
2013-01-22,-9.4532
2013-01-23,-5.66396
2013-01-24,-6.30213
2013-01-25,-2.89138
2013-01-26,-0.0523061
2013-01-27,-0.500443
2013-01-28,0.344519
2013-01-29,0.273596
2013-01-30,1.60919
2013-01-31,4.15779
2013-02-01,12.151
2013-02-02,12.67
2013-02-03,8.48949
2013-02-04,12.2982
2013-02-05,17.1433
2013-02-06,16.8227
2013-02-07,19.6827
2013-02-08,13.416
2013-02-09,14.8145
2013-02-10,16.6978
2013-02-11,14.8958
2013-02-12,15.724
2013-02-13,12.6848
2013-02-14,12.4162
2013-02-15,8.31535
2013-02-16,10.1308
2013-02-17,15.0361
2013-02-18,14.1149
2013-02-19,14.3899
2013-02-20,15.4194
2013-02-21,18.7314
2013-02-22,25.362
2013-02-23,24.2653
2013-02-24,23.192
2013-02-25,22.7464
2013-02-26,26.1075
2013-02-27,30.096
2013-02-28,27.0789
2013-03-01,26.604
2013-03-02,24.5871
2013-03-03,20.518
2013-03-04,21.2212
2013-03-05,20.0004
2013-03-06,16.4015
2013-03-07,11.7253
2013-03-08,9.88416
2013-03-09,9.8197
2013-03-10,12.7415
2013-03-11,16.1846
2013-03-12,10.5373
2013-03-13,9.60833
2013-03-14,9.80301
2013-03-15,14.3105
2013-03-16,16.2101
2013-03-17,17.7531
2013-03-18,18.9617
2013-03-19,22.4702
2013-03-20,27.3276
