Date,UTXO Set Size
2011-12-29,1262368
2011-12-30,1264085
2011-12-31,1266428
2012-01-01,1266508
2012-01-02,1266392
2012-01-03,1265325
2012-01-04,1265318
2012-01-05,1265049
2012-01-06,1263488
2012-01-07,1261779
2012-01-08,1261558
2012-01-09,1262367
2012-01-10,1260897
2012-01-11,1256845
2012-01-12,1254088
2012-01-13,1255114
2012-01-14,1257504
2012-01-15,1260320
2012-01-16,1261541
2012-01-17,1263383
2012-01-18,1265390
2012-01-19,1266679
2012-01-20,1268859
2012-01-21,1270898
2012-01-22,1272214
2012-01-23,1275369
2012-01-24,1278086
2012-01-25,1280724
2012-01-26,1282419
2012-01-27,1284129
2012-01-28,1285447
2012-01-29,1287952
2012-01-30,1290009
2012-01-31,1293353
2012-02-01,1294707
2012-02-02,1297722
2012-02-03,1299861
2012-02-04,1302920
2012-02-05,1304793
2012-02-06,1307546
2012-02-07,1309457
2012-02-08,1311979
2012-02-09,1316086
2012-02-10,1318652
2012-02-11,1320293
2012-02-12,1322233
2012-02-13,1326167
2012-02-14,1329674
2012-02-15,1331756
2012-02-16,1335194
2012-02-17,1336898
2012-02-18,1339042
2012-02-19,1343325
2012-02-20,1347576
2012-02-21,1351030
2012-02-22,1352858
2012-02-23,1356019
2012-02-24,1358436
2012-02-25,1361577
2012-02-26,1364440
2012-02-27,1366702
2012-02-28,1369861
2012-02-29,1373325
2012-03-01,1377146
2012-03-02,1377897
2012-03-03,1379342
2012-03-04,1382732
2012-03-05,1387404
2012-03-06,1390028
2012-03-07,1392049
2012-03-08,1396206
2012-03-09,1400205
2012-03-10,1403923
2012-03-11,1403540
2012-03-12,1406513
2012-03-13,1410732
2012-03-14,1410100
2012-03-15,1410747
2012-03-16,1412676
2012-03-17,1416461
2012-03-18,1420509
2012-03-19,1423792
2012-03-20,1425816
2012-03-21,1428069
2012-03-22,1431750
2012-03-23,1435695
2012-03-24,1438817
2012-03-25,1443323
2012-03-26,1445548
2012-03-27,1447284
2012-03-28,1451113
2012-03-29,1454472
2012-03-30,1457545
2012-03-31,1461368
2012-04-01,1464415
2012-04-02,1467351
2012-04-03,1468402
2012-04-04,1469459
2012-04-05,1471991
2012-04-06,1471383
2012-04-07,1472089
2012-04-08,1474817
2012-04-09,1478253
2012-04-10,1481085
2012-04-11,1485196
2012-04-12,1486764
2012-04-13,1489506
2012-04-14,1492461
2012-04-15,1496476
2012-04-16,1499310
2012-04-17,1501817
2012-04-18,1502255
2012-04-19,1502699
2012-04-20,1504295
2012-04-21,1503649
2012-04-22,1505021
2012-04-23,1507067
2012-04-24,1509542
2012-04-25,1512690
2012-04-26,1515785
2012-04-27,1521023
2012-04-28,1522389
2012-04-29,1525932
2012-04-30,1529650
2012-05-01,1533207
2012-05-02,1536122
2012-05-03,1537497
2012-05-04,1541921
2012-05-05,1545611
2012-05-06,1549763
2012-05-07,1549669
2012-05-08,1552857
2012-05-09,1557079
2012-05-10,1558433
2012-05-11,1559547
2012-05-12,1561624
2012-05-13,1564116
2012-05-14,1567367
2012-05-15,1571000
2012-05-16,1572945
2012-05-17,1572744
2012-05-18,1575873
2012-05-19,1578757
2012-05-20,1582188
2012-05-21,1585664
2012-05-22,1590003
