Date,Velocity - Daily
2011-09-14,0.0493408
2011-09-15,0.0409361
2011-09-16,0.0403085
2011-09-17,0.093802
2011-09-18,0.0453005
2011-09-19,0.040277
2011-09-20,0.0445984
2011-09-21,0.0469073
2011-09-22,0.054532
2011-09-23,0.0402699
2011-09-24,0.0464078
2011-09-25,0.0304264
2011-09-26,0.0399943
2011-09-27,0.0377767
2011-09-28,0.0583877
2011-09-29,0.0480729
2011-09-30,0.0425665
2011-10-01,0.039039
2011-10-02,0.0564973
2011-10-03,0.0437209
2011-10-04,0.0547734
2011-10-05,0.0535309
2011-10-06,0.0533836
2011-10-07,0.0716286
2011-10-08,0.0510496
2011-10-09,0.0384342
2011-10-10,0.0413821
2011-10-11,0.0404349
2011-10-12,0.0433495
2011-10-13,0.0426494
2011-10-14,0.0387008
2011-10-15,0.0481872
2011-10-16,0.0388067
2011-10-17,0.0339762
2011-10-18,0.065989
2011-10-19,0.0446611
2011-10-20,0.0402696
2011-10-21,0.0410557
2011-10-22,0.0717823
2011-10-23,0.0813919
2011-10-24,0.0714699
2011-10-25,0.0467678
2011-10-26,0.0478972
2011-10-27,0.0670613
2011-10-28,0.0713216
2011-10-29,0.0448999
2011-10-30,0.0587055
2011-10-31,0.0251811
2011-11-01,0.0574245
2011-11-02,0.0644886
2011-11-03,0.0569488
2011-11-04,0.0425374
2011-11-05,0.0513721
2011-11-06,0.0363746
2011-11-07,0.0290239
2011-11-08,0.0351892
2011-11-09,0.151799
2011-11-10,0.124366
2011-11-11,0.04561
2011-11-12,0.0395468
2011-11-13,0.0306581
2011-11-14,0.0332086
2011-11-15,0.0440827
2011-11-16,0.0487311
2011-11-17,0.265525
2011-11-18,0.493391
2011-11-19,0.592516
2011-11-20,0.532404
2011-11-21,0.199595
2011-11-22,0.283158
2011-11-23,0.399857
2011-11-24,0.200637
2011-11-25,0.202137
2011-11-26,0.133407
2011-11-27,0.206222
2011-11-28,0.232449
2011-11-29,0.51641
2011-11-30,0.509045
2011-12-01,0.903578
2011-12-02,0.218681
2011-12-03,0.755005
2011-12-04,0.448623
2011-12-05,0.318049
2011-12-06,0.380064
2011-12-07,0.937465
2011-12-08,0.71628
2011-12-09,0.586891
2011-12-10,0.201742
2011-12-11,0.145324
2011-12-12,0.10441
2011-12-13,0.0932562
2011-12-14,0.0435173
2011-12-15,0.0553434
2011-12-16,0.0575455
2011-12-17,0.0610814
2011-12-18,0.0422349
2011-12-19,0.0426072
2011-12-20,0.0594748
2011-12-21,0.0682903
2011-12-22,0.0705583
2011-12-23,0.0557709
2011-12-24,0.0310013
2011-12-25,0.0390971
2011-12-26,0.0370907
2011-12-27,0.0885869
2011-12-28,0.0827296
2011-12-29,0.0351963
2011-12-30,0.0624801
2011-12-31,0.0341322
2012-01-01,0.0331925
2012-01-02,0.0424113
2012-01-03,0.0323126
2012-01-04,0.0326874
2012-01-05,0.0525437
2012-01-06,0.08226
2012-01-07,0.073622
2012-01-08,0.0396121
2012-01-09,0.0434367
2012-01-10,0.0546748
2012-01-11,0.0471405
2012-01-12,0.047277
2012-01-13,0.0485626
2012-01-14,0.0448945
2012-01-15,0.0419086
2012-01-16,0.0331097
2012-01-17,0.052659
2012-01-18,0.0562291
2012-01-19,0.0429698
2012-01-20,0.0484617
2012-01-21,0.0440004
2012-01-22,0.0361921
2012-01-23,0.0340246
2012-01-24,0.0345495
2012-01-25,0.046597
2012-01-26,0.0526975
2012-01-27,0.0476526
2012-01-28,0.0425906
2012-01-29,0.0322277
2012-01-30,0.0400721
2012-01-31,0.0387506
2012-02-01,0.0419549
2012-02-02,0.0523498
2012-02-03,0.0432536
2012-02-04,0.0463905
2012-02-05,0.0428295
2012-02-06,0.0407643
2012-02-07,0.0392749
2012-02-08,0.0371517
2012-02-09,0.0371115
2012-02-10,0.03181
2012-02-11,0.0389011
2012-02-12,0.0546403
2012-02-13,0.0370959
2012-02-14,0.0616616
2012-02-15,0.155756
2012-02-16,0.1713
2012-02-17,0.176655
2012-02-18,0.115614
2012-02-19,0.0822619
2012-02-20,0.0460021
2012-02-21,0.0530169
2012-02-22,0.0457822
2012-02-23,0.094846
2012-02-24,0.0823916
2012-02-25,0.0655084
2012-02-26,0.0476684
2012-02-27,0.039797
2012-02-28,0.0451521
2012-02-29,0.0430148
2012-03-01,0.0394198
2012-03-02,0.0772032
2012-03-03,0.0703496
2012-03-04,0.0537652
2012-03-05,0.0682404
2012-03-06,0.0439071
2012-03-07,0.04257
2012-03-08,0.0431315
2012-03-09,0.0618618
2012-03-10,0.0702037
2012-03-11,0.045274
